"alpha2" "upsilon" "psi" "sig" "p0" "d0" "sig_m"
"1" 0.981959015288286 0.621158362463014 0.902454626768956 1.85368875044201 0.0081218947092182 0.14038636269485 2.75476541128809
"2" 0.922466322074142 0.610340944667456 0.903194280437737 1.90867695003478 0.00946717847917139 0.171219206657251 2.60900801162514
"3" 0.997439548216302 0.624996789374715 0.901806493789587 1.59908516539101 0.013753481288205 0.169294570697595 2.58717753593973
"4" 1.02731405476633 0.624534156454647 0.901992942080366 1.8557603634461 0.0110099765783022 0.180816158785411 2.52953066073497
"5" 1.00924459861468 0.617253633986034 0.896062967264196 1.9376285334872 0.00883182891759545 0.175040403187091 2.58873317584791
"6" 1.02009740855972 0.636782021306659 0.898101066305376 1.8057722593409 0.0110441539684606 0.167731016443369 2.54279890872199
"7" 0.953368352392461 0.614263737733694 0.897360007983448 1.74362536907892 0.0137139844012794 0.154459643291052 2.48567425987706
"8" 0.984593681023358 0.625958437135155 0.897452531772921 1.80287861017011 0.0105069285128727 0.167703962772338 2.51086334874482
"9" 0.993125174745163 0.617078779091908 0.901343448951882 1.87223966240002 0.00996745690824347 0.1598836583503 2.65523753910378
"10" 1.07039393965011 0.634498938938217 0.899860884964831 1.72000049584889 0.0139795380637923 0.14913465950473 2.61993767618272
