"alpha2" "upsilon" "psi" "sig" "p0" "d0" "sig_mm"
"1" 0.619120188580316 2.22488198391813 0.90208418689773 1.8897229973982 0.00915684708482606 0.157828850977913 2.48892099251492
"2" 0.539152447605984 2.08287186469212 0.897915762076878 2.00325967012485 0.00757147163677174 0.165807500441552 2.31074722442451
"3" 0.832177663196319 2.29887278851017 0.899305184551266 1.99345133148884 0.00772870762576007 0.164011748739686 2.61326295575785
"4" 0.91416440105807 2.41627653157477 0.899861641578209 2.09214167574565 0.00815798273991031 0.182361715061436 2.45685933141111
"5" 0.677896132547917 2.31636210584114 0.897267272802749 2.06954895481526 0.00673190748974704 0.153267743836453 2.43518473488498
"6" 0.867368285890847 2.40716071480073 0.901620816791706 1.90843751201017 0.00880931761319158 0.164247465064054 2.45955796125061
"7" 0.774228894475947 2.35395173478655 0.89902719548208 2.01864166455706 0.00708421787792227 0.160123820573011 2.45423090954799
"8" 0.975963602047827 2.40541150213709 0.892820269418655 2.21863625302562 0.00707356323931974 0.173286536777698 2.70875796262457
"9" 1.01912949845884 2.4888859366286 0.897823694996518 2.15311949894618 0.00749467624320249 0.150795846429906 2.57863622990481
"10" 0.976295320947116 2.35980677009129 0.896248218453091 2.00279888064609 0.00899686889141451 0.168617025865151 2.77529686049248
