"alpha2" "upsilon" "psi" "sig" "p0" "d0"
"1" 0.831891984139851 2.40332233567225 0.905697535088065 2.42415562564993 0.00502430222840487 0.167009448220209
"2" 0.360772274914551 2.07127691891726 0.899953638791842 2.38113678078557 0.00473910826787946 0.150162755030871
"3" 0.765669129558765 2.26155368474407 0.894210222710181 2.59210064450473 0.00575257584137741 0.14349605910167
"4" 0.879573586652806 2.41311066817353 0.899027167840769 2.43434433606854 0.00540732143218346 0.14882800795415
"5" 0.542490320119342 2.06637119673015 0.902640982250193 2.34336632038496 0.0060645038493306 0.138889985291285
"6" 1.05072657498143 2.46959603743592 0.897081345505102 2.66721139368609 0.00530737315008644 0.13552506353913
"7" 0.831399670510095 2.30365838591248 0.898192684019713 2.601279720323 0.00513554361075965 0.161508729153575
"8" 0.779061791986714 2.30151883575496 0.894951360391095 2.61681310048569 0.00507442735019669 0.152119631301815
"9" 0.652586737017101 2.210945216427 0.903844142816762 2.41333864345638 0.00510106252722759 0.138808584131347
"10" 0.762984874465489 2.32656275078633 0.899027928381585 2.38655303980184 0.00713431897821229 0.147274277232701
