"x" "y" "id" "times"
"1" 15.625 16.625 1 1
"2" 14.625 16.875 1 2
"3" 14.875 16.125 1 3
"4" 16.125 16.125 1 4
"5" 15.875 16.125 1 5
"6" 15.125 15.875 1 6
"7" 14.625 15.875 1 7
"8" 14.875 16.875 1 8
"9" 13.875 15.125 1 9
"10" 14.625 16.125 1 10
"11" 15.375 17.125 1 11
"12" 15.375 16.125 1 12
"13" 14.875 16.625 1 13
"14" 14.875 16.625 1 14
"15" 15.375 16.625 1 15
"16" 15.375 16.625 1 16
"17" 15.375 16.625 1 17
"18" 15.875 16.625 1 18
"19" 15.125 16.375 1 19
"20" 14.625 17.125 1 20
"21" 15.125 16.875 1 21
"22" 15.375 17.625 1 22
"23" 14.375 18.375 1 23
"24" 14.375 18.375 1 24
"25" 15.625 18.125 1 25
"26" 15.125 17.875 1 26
"27" 14.875 17.125 1 27
"28" 15.125 16.875 1 28
"29" 15.375 17.625 1 29
"30" 14.625 18.625 1 30
"31" 14.375 17.875 1 31
"32" 15.125 17.125 1 32
"33" 14.875 16.125 1 33
"34" 15.125 16.625 1 34
"35" 15.375 16.375 1 35
"36" 14.875 16.375 1 36
"37" 14.875 16.625 1 37
"38" 14.375 16.625 1 38
"39" 14.375 16.375 1 39
"40" 15.375 16.375 1 40
"41" 15.875 16.125 1 41
"42" 14.875 16.625 1 42
"43" 15.125 17.875 1 43
"44" 15.875 17.875 1 44
"45" 15.625 18.125 1 45
"46" 14.375 18.875 1 46
"47" 13.875 18.625 1 47
"48" 13.875 19.375 1 48
"49" 14.625 18.875 1 49
"50" 13.625 19.125 1 50
"51" 14.125 17.875 1 51
"52" 14.375 17.125 1 52
"53" 14.375 17.125 1 53
"54" 14.625 18.375 1 54
"55" 14.625 18.375 1 55
"56" 14.875 17.875 1 56
"57" 14.875 17.625 1 57
"58" 14.625 17.375 1 58
"59" 13.875 15.875 1 59
"60" 13.375 15.125 1 60
"61" 12.875 16.875 1 61
"62" 12.625 17.125 1 62
"63" 12.625 16.875 1 63
"64" 12.875 16.875 1 64
"65" 13.375 17.375 1 65
"66" 12.875 17.625 1 66
"67" 12.875 17.625 1 67
"68" 14.125 17.625 1 68
"69" 14.375 17.375 1 69
"70" 15.125 17.125 1 70
"71" 16.125 17.375 1 71
"72" 15.625 16.875 1 72
"73" 15.375 16.125 1 73
"74" 15.125 16.875 1 74
"75" 15.125 16.125 1 75
"76" 15.625 15.625 1 76
"77" 15.625 16.625 1 77
"78" 15.125 16.125 1 78
"79" 14.875 16.875 1 79
"80" 15.125 16.125 1 80
"81" 15.125 16.625 1 81
"82" 15.375 17.625 1 82
"83" 14.375 18.125 1 83
"84" 14.375 17.375 1 84
"85" 14.625 16.625 1 85
"86" 14.375 17.125 1 86
"87" 15.375 18.125 1 87
"88" 14.375 18.625 1 88
"89" 15.625 17.875 1 89
"90" 14.625 16.375 1 90
"91" 15.875 17.375 1 91
"92" 14.875 17.125 1 92
"93" 14.875 16.625 1 93
"94" 14.875 16.125 1 94
"95" 14.875 16.875 1 95
"96" 15.875 18.625 1 96
"97" 15.625 18.625 1 97
"98" 16.375 18.125 1 98
"99" 17.375 19.375 1 99
"100" 17.375 19.125 1 100
"101" 17.625 19.125 1 101
"102" 17.625 19.125 1 102
"103" 17.375 19.375 1 103
"104" 16.375 19.375 1 104
"105" 16.375 19.375 1 105
"106" 16.375 18.375 1 106
"107" 16.375 18.375 1 107
"108" 17.125 18.625 1 108
"109" 17.375 19.625 1 109
"110" 17.625 19.375 1 110
"111" 17.875 19.875 1 111
"112" 18.125 20.125 1 112
"113" 18.375 20.375 1 113
"114" 17.375 19.375 1 114
"115" 16.625 18.125 1 115
"116" 15.875 18.125 1 116
"117" 15.625 17.625 1 117
"118" 15.875 18.125 1 118
"119" 15.875 18.875 1 119
"120" 15.375 18.875 1 120
"121" 15.875 18.875 1 121
"122" 16.125 18.125 1 122
"123" 15.875 18.875 1 123
"124" 14.375 18.375 1 124
"125" 15.125 18.875 1 125
"126" 15.375 18.625 1 126
"127" 14.625 18.875 1 127
"128" 15.125 17.625 1 128
"129" 15.625 17.875 1 129
"130" 16.625 17.875 1 130
"131" 16.375 17.375 1 131
"132" 16.125 17.375 1 132
"133" 15.625 16.875 1 133
"134" 14.875 17.625 1 134
"135" 15.125 17.125 1 135
"136" 14.625 16.125 1 136
"137" 15.375 16.625 1 137
"138" 15.625 15.875 1 138
"139" 15.625 15.875 1 139
"140" 14.375 15.625 1 140
"141" 14.125 15.875 1 141
"142" 13.375 16.125 1 142
"143" 14.375 16.625 1 143
"144" 14.375 16.625 1 144
"145" 14.625 17.125 1 145
"146" 14.625 18.625 1 146
"147" 14.875 19.125 1 147
"148" 15.125 19.375 1 148
