"alpha2" "upsilon" "psi" "sig" "p0" "d0" "sig_m"
"1" 0.929167049198779 0.616112771910373 0.905974603909491 1.56197726268939 0.0117988156371424 0.163617179025275 2.44273373431829
"2" 0.989258641099548 0.619986729952648 0.903844298003839 1.80203553883914 0.0104369043828691 0.142819710510031 2.57464554888499
"3" 0.98534550543307 0.617192793051634 0.899767540300422 1.70108379515445 0.0107708815847308 0.160747717131971 2.54344765402734
"4" 0.983493176135495 0.625880126448173 0.899212185148162 1.85249930402168 0.0101705374794455 0.15452642330103 2.56059756252539
"5" 0.904614834572064 0.6119504112304 0.898470873519295 1.79350693153463 0.00890014424090903 0.162339984403626 2.52379774031548
"6" 0.999220798374644 0.62250159565388 0.900230777082322 1.95513785695349 0.00896994947938466 0.158386845919538 2.69713832825219
"7" 0.945173815705795 0.622612192413376 0.897638000991524 1.7537439450273 0.0101838957191757 0.155994766748689 2.55964099874179
"8" 0.988143236693636 0.621814932180554 0.907642346887104 1.81702094626731 0.00872866986710078 0.160571629765431 2.49708283991641
"9" 1.04956957504308 0.62766841688106 0.895043997984529 1.73452724045466 0.0106450809849525 0.156518139017981 2.63491429780698
"10" 0.974352181644338 0.619614055465208 0.898934404505673 1.74517625665475 0.0102693158213385 0.17866873282077 2.44971440762382
